Participant,Skewness,Kurtosis,Skewness_Analysis,Kurtosis_Analysis
6k6gw,1.7524844233391725,1.8169720430222007,Asimmetria Positiva (Coda a destra),Leptocurtica (Picco alto / Code pesanti)
D7GcxxFf3,0.7589533050550848,-0.919810473867344,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
FWvvb87,1.4858069810276637,1.3450943681414156,Asimmetria Positiva (Coda a destra),Leptocurtica (Picco alto / Code pesanti)
FcXX1,0.9617493470129747,-0.5323354968860841,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
K34LOp,1.7016216426458324,2.4990596222086294,Asimmetria Positiva (Coda a destra),Leptocurtica (Picco alto / Code pesanti)
KLO33,0.8114108532788568,0.07142630684669227,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
Lso2g,0.7662339534052134,-0.8932305432293148,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
Ou4tR,0.9287709571075443,-0.5262973268325704,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
P67Dftt,1.0973920924806524,-0.2896580905178827,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
SxRtt99,0.695204516246608,-1.3220466921649692,Asimmetria Positiva (Coda a destra),Platicurtica (Piatta / Code leggere)
V11GHjjk,1.3283552226444788,0.4349609812834445,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
VBr4ssd,1.1618145300707656,-0.04361729717587037,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
XCv32m,0.8879535870934651,-0.47405078987243465,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
XfdEE1,0.6779123685307272,-1.0841489641706406,Asimmetria Positiva (Coda a destra),Platicurtica (Piatta / Code leggere)
rt8Ye0r,0.49611402759110296,-1.2199678573870256,Simmetrica,Platicurtica (Piatta / Code leggere)
GFGzP,0.8913730950774859,-0.5605312022606155,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
KWgkc,0.657278283555032,-0.8874952781728878,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
EXAMPLE,0.7806034584804771,-0.9821977001387463,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
tMGNS,1.7566911440821937,1.9514346527549042,Asimmetria Positiva (Coda a destra),Leptocurtica (Picco alto / Code pesanti)
urJvc,1.104795340472616,-0.3719780342757475,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
yb3T2,0.48915681292722235,-1.363692470114807,Simmetrica,Platicurtica (Piatta / Code leggere)
4FoNM,0.4303637739105927,-1.0288302966488554,Simmetrica,Platicurtica (Piatta / Code leggere)
5KB3V,0.9155408006322207,-0.6168700361421964,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
CoQmx,1.4596906231507485,0.7015290152778748,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
Cr1sTi,1.281732331376641,0.23830574241074576,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
F5tXL,0.9630619060325111,-0.5151711335798339,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
F8mDn,0.4611519700984998,-1.4887727347886222,Simmetrica,Platicurtica (Piatta / Code leggere)
LR96S,0.6387609425116063,-1.3240622926952323,Asimmetria Positiva (Coda a destra),Platicurtica (Piatta / Code leggere)
PPjCX,0.7323778321504748,-0.8851434969394618,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
VckNZ,1.501967974239084,0.6728894910259076,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
hMHEK1,0.5781067659232132,-1.169397015168394,Asimmetria Positiva (Coda a destra),Platicurtica (Piatta / Code leggere)
wohkw,0.8370622840237452,-0.8896123035731383,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
6GSd4,0.7297968591008581,-0.8411302552449671,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
8vDRG,1.1314376131140835,-0.4492026269331775,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
Fjil72,1.4903253359688362,1.3086353189801194,Asimmetria Positiva (Coda a destra),Leptocurtica (Picco alto / Code pesanti)
Fyt7d,1.3565351896938465,0.28660633907057953,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
G4Egk,0.7044194611612612,-0.35913132995409836,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
Gftw5,0.933660372140463,-0.5340218316468794,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
KoG5ii,0.856011142545525,-0.477684710601995,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
M4t7k,0.7117512003720584,-1.1404172211568044,Asimmetria Positiva (Coda a destra),Platicurtica (Piatta / Code leggere)
O1pGR,0.5727065942085494,-1.0838808676195675,Asimmetria Positiva (Coda a destra),Platicurtica (Piatta / Code leggere)
XhsN0o,0.8942551662436765,-0.8694950260506147,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
kH4Dd,0.43824521604705785,-1.0928862004622972,Simmetrica,Platicurtica (Piatta / Code leggere)
GHft8,0.578406389715214,-1.4019433687344813,Asimmetria Positiva (Coda a destra),Platicurtica (Piatta / Code leggere)
WYuvqk,1.5197888460668136,1.620951948223337,Asimmetria Positiva (Coda a destra),Leptocurtica (Picco alto / Code pesanti)
XPI3pA,1.0324687301337623,-0.47104439705652634,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
h2yD5h,1.1273896454116343,-0.22710751211709557,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
7yqP3,1.8045909934709152,2.2976956518500176,Asimmetria Positiva (Coda a destra),Leptocurtica (Picco alto / Code pesanti)
G5XzoP,0.7380926260539784,-0.8179731466945519,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
NMy2s,0.6899978462280864,-1.2420882954670616,Asimmetria Positiva (Coda a destra),Platicurtica (Piatta / Code leggere)
Xd3foP9,0.8894435626158961,-0.7668853870238848,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
gf5X,0.9739501424001119,-0.2591062405501354,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
A5feTy,0.677548917749505,-1.1489134333416924,Asimmetria Positiva (Coda a destra),Platicurtica (Piatta / Code leggere)
CVgs2,1.2002384749591235,0.41897618499696865,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
Dwf5T,1.1037029729241452,0.06890761905639531,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
ERqc8,0.8878943530754189,-0.6351363284905145,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
G4dLl,0.5225187060936877,-1.0056304921781274,Asimmetria Positiva (Coda a destra),Platicurtica (Piatta / Code leggere)
Gr33d,0.7414944521000808,-0.8938021733808754,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
Hx7dO,0.6336293336495987,-1.3000362193650539,Asimmetria Positiva (Coda a destra),Platicurtica (Piatta / Code leggere)
Kgh4P3,0.5720276333050063,-1.2786075576216938,Asimmetria Positiva (Coda a destra),Platicurtica (Piatta / Code leggere)
SI3pa2,0.8124753528694652,-1.0417315033108725,Asimmetria Positiva (Coda a destra),Platicurtica (Piatta / Code leggere)
V9D5x,0.5787004902027513,-0.6893326804891453,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
sop2d,1.0081369160146643,-0.30811219155844327,Asimmetria Positiva (Coda a destra),Mesocurtica (Normale)
