Participant,Stimulus_Name,Amused*,Angry*,Bored*,Calm*,Content*,Disgust*,Excited*,Fearful*,Happy*,Negative*,Positive*,Sad*,Amused*_normalized,Angry*_normalized,Bored*_normalized,Calm*_normalized,Content*_normalized,Disgust*_normalized,Excited*_normalized,Fearful*_normalized,Happy*_normalized,Negative*_normalized,Positive*_normalized,Sad*_normalized
6k6gw,HN_1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,5.0,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,0.35213270599404584,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,0.222559247192855,-0.16616112921071746,0.48170616479523665
6k6gw,HN_4,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,7.0,0.0,6.0,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,0.35213270599404584,-0.03658767040952664,0.09298578839166419,-0.16616112921071746,0.7408530823976184,-0.16616112921071746,0.6112796235964275
6k6gw,HN_5,0.0,3.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,5.0,0.0,3.0,-0.16616112921071746,0.222559247192855,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,0.222559247192855,-0.16616112921071746,0.8704265411988091,-0.16616112921071746,0.48170616479523665,-0.16616112921071746,0.222559247192855
6k6gw,HN_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,0.6112796235964275,-0.16616112921071746,0.8704265411988091
6k6gw,HN_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.03658767040952664
6k6gw,HN_8,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,8.0,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,0.7408530823976184,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,1.0,-0.16616112921071746,0.8704265411988091
6k6gw,HP_2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.35213270599404584,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,0.09298578839166419,-0.16616112921071746,0.35213270599404584,-0.16616112921071746
6k6gw,HP_4,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,3.0,0.0,0.7408530823976184,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,0.09298578839166419,-0.16616112921071746,0.48170616479523665,-0.16616112921071746,0.222559247192855,-0.16616112921071746
6k6gw,HP_5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6112796235964275,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746
6k6gw,HP_6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.35213270599404584,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,0.35213270599404584,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746
6k6gw,HP_8,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,5.0,0.0,0.7408530823976184,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,0.48170616479523665,-0.16616112921071746,0.6112796235964275,-0.16616112921071746,0.48170616479523665,-0.16616112921071746
6k6gw,LN_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746
6k6gw,LN_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,0.48170616479523665
6k6gw,LN_3,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,6.0,-0.16616112921071746,0.09298578839166419,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,1.0,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,0.35213270599404584,-0.16616112921071746,0.6112796235964275
6k6gw,LN_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.03658767040952664,-0.16616112921071746,1.0
6k6gw,LN_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,-0.16616112921071746,0.48170616479523665
